action,guest,id,subject,system,time
swiped in,True,112070702136,Charlotta SCHNITTGER,swipe system,2019-01-01 07:50:22.678631
swiped in,True,112070356608,Vassie GALARSA,swipe system,2019-01-01 07:54:09.941757
swiped in,True,112090458320,Wenzel ERBSTOESSER,swipe system,2019-01-01 08:00:54.406641
swiped in,True,112070884320,Rayan SHATTUCK,swipe system,2019-01-01 08:10:02.745435
swiped in,True,112071001200,Heath HILLMANN,swipe system,2019-01-01 08:14:58.313058
swiped in,True,112098184048,Lu SEOK,swipe system,2019-01-01 08:34:43.067004
swiped in,False,112083466952,Beadie SOMICH,swipe system,2019-01-01 09:19:12.508588
swiped in,True,112097414728,Adolphus GENTZLER,swipe system,2019-01-01 09:31:49.454864
swiped in,True,112097989968,Tye SEGO,swipe system,2019-01-01 09:50:09.314818
swiped in,False,112094168288,Beadie PENALBER,swipe system,2019-01-01 10:05:05.552242
swiped in,True,112096914736,Shanda HAARSTICK,swipe system,2019-01-01 10:19:45.267181
swiped in,True,112098244928,Fred TURNBAUGH,swipe system,2019-01-01 10:44:45.374652
swiped in,True,112068293464,Elenore OGAWA,swipe system,2019-01-01 11:12:47.855780
swiped in,True,112098245600,Cierra WIRTS,swipe system,2019-01-01 11:23:17.289124
swiped in,True,112097470728,Rex EKANAYAKE,swipe system,2019-01-01 11:23:02.202153
swiped in,True,112075417248,Cael LAUDERMILK,swipe system,2019-01-01 11:31:09.014075
swiped in,False,112094101008,Brycen SHESTAK,swipe system,2019-01-01 11:47:08.375447
swiped in,True,112067917080,Porsha CIRO,swipe system,2019-01-01 11:51:44.744250
swiped in,True,112067790272,Sibyl SCRIP,swipe system,2019-01-01 11:59:38.983504
swiped in,True,112097029760,Almina EASDON,swipe system,2019-01-01 12:02:59.723631
swiped in,True,112068864096,Ellamae KOEBLER,swipe system,2019-01-01 12:03:04.060376
swiped in,False,112069194192,Luciana CANTELLO,swipe system,2019-01-01 12:25:19.228328
swiped in,True,112084053856,Red PURTA,swipe system,2019-01-01 12:25:14.845675
swiped in,True,112069399384,Twila MANNAN,swipe system,2019-01-01 12:54:55.345560
swiped in,False,112094098600,Bryce SARDO,swipe system,2019-01-01 13:00:20.325211
swiped in,True,112092788328,Santa ABBRUZZESE,swipe system,2019-01-01 13:00:57.879782
swiped in,True,112068674448,Grant COVELY,swipe system,2019-01-01 13:04:22.845948
swiped in,True,112094453208,Raphael DENDRINOS,swipe system,2019-01-01 13:11:29.210925
swiped in,True,112068104488,Gwyn ECHEVARIA,swipe system,2019-01-01 13:14:29.504609
swiped in,True,112096726768,Carly FOGELBERG,swipe system,2019-01-01 13:16:50.461233
